"","text","stringAsFactors"
"71","heran jg ya hari gini saat bangsa lain di dunia udh pd mikir gmn caranya ke mars eh yg di  mlh msh pd berkutat pd hal yg itu lg  ibunegara polio vaksin",FALSE
"72","buku tumbal vaksin maut jepang biografi prof dr achmad mochtar buku tumbal vaksin maut jepang biografi prof dr achmadmochtar ",FALSE
"73","open jasa sertifikat vaksin dosis booster terdaftar di pedulilindungi booster belum  bulan bisa juga dan gotong royong buruan inbox zonauang vaksin dorvaksin tembakvaksin tembak tanpasuntik all bismillahirrahmanirahim ",FALSE
"74","vaksin booster di indonesia mencapai  juta penduduk  merahputihcom vaksin booster covid kesehatan   ",FALSE
"75","kasus polio muncul lagi idai jangan anggap sepele imunisasi  vaksin vaksinasi polio kelumpuhan",FALSE
"76","yuk jangan lupa melakukan vaksinasi influenza setiap setahun sekali ya sahabat prodia jangan lupa vaksin booster covid juga  vaksin vaksincovid vaksininfluenza influenza prodiahealth hidupsehatberkualitas",FALSE
"77","di tengah pandemi covid ini pemberian vaksin influenza jg dianggap mampu mengurangi risiko terjadinya infeksi virus covid yg parah sehingga penting utk memenuhi vaksin covid  influenza skaligus vaksin vaksincovid vaksininfluenza influenza  hidupsehatberkualitas",FALSE
"78","mengingat flu juga berpotensi menyebabkan komplikasi serius khususnya bagi para penderita penyakit kronis seperti asma diabetes dan gagal jantung maka penting untuk melakukan pencegahan vaksin vaksincovid vaksininfluenza influenza prodiahealth hidupsehatberkualitas",FALSE
"79","halo sahabat prodia menurut sahabat prodia penting mana ya vaksin covid atau vaksin influenza untuk kondisi saat ini vaksin vaksincovid vaksininfluenza influenza prodiahealth hidupsehatberkualitas",FALSE
"80","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   zonauang zonajajan jasavaksin jokivaksin vaksin zonabu ",FALSE
"81","open jasa tembak vaksin dan unlock imei buat iphoneandroid nya yg ke blokir ya more info dm me gt   jasatembakvaksin tembakvaksin imeiterblokir ilangsinyal vaksin boster unlockimei imeiblokir smartfren ",FALSE
"82","rekomendasi vaksin di aku kenapa proses cepat bisa riset nik  barcode sesuai aman di gunakan kemanapun insya allah amanah   zonajajan zonabu vaksin infovaksin jadwalvaksin sertfikatvaksin jokivaksin vaksinmakassar vaksinbatam tiketpesawat infoloker",FALSE
"83","perayaan hut ke astra di bali hadirkan festival kesehatan astra  untuk wujudkan indonesia sehat  koranjakarta astra hutastra harikesehatannasional festivalkesehatanastra festival vaksin talentshow event   ",FALSE
"84","silahkan vaksinnya kak   tembus ke pedlindungi  proses cepat  murah  trusted  data aman  testi cek di pin twitter  langsung klik link bio untuk order ya   jasavaksin jokivaksin vaksin tembakvaksin zonauang zonajajan zonacuan cuan uang ",FALSE
"85","roadshowkr karmareinkarnasi livetweet livereport indonesiabaik vaksin vaksinasibooster kominfonewsroom ",FALSE
"86","roadshowkr karmareinkarnasi livetweet livereport indonesiabaik vaksin vaksinasibooster kominfonewsroom ",FALSE
"87","roadshowkr karmareinkarnasi livetweet livereport indonesiabaik vaksin vaksinasibooster kominfonewsroom ",FALSE
"88","roadshowkr karmareinkarnasi livetweet livereport indonesiabaik vaksin vaksinasibooster kominfonewsroom ",FALSE
"89","roadshowkr karmareinkarnasi livetweet livereport indonesiabaik vaksin vaksinasibooster kominfonewsroom ",FALSE
"90","card kartu ini dia contoh produk terlaris  id card atau tanda pengenal custom  menyesuaikan profesi ya chat yaa  kartupelajar kartuanggota member pengenal vaksin barcode scan alunaprinting alunawiraphotograph ",FALSE
"91","repost  hai sohib   memperbarui regimen pemberian vaksin covid booster di indonesia   warga penerima vaksin primer dosis    sinovac diperbolehkan menerima booster vaksin indovac dengan dosis penuh  ml ",FALSE
"92","guys info vaksin dosis ke  atau booster daerah jakarta dong yang minggu ada pls urgentttt  pinjem hastag zonauang vaksin",FALSE
